职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
安全攻防研究员,2-3.5万/月,['本科'],['2年经验'],['招1人'],苏源大道19号九龙湖国际企业总部园A1-5F,瀚思安信（北京）软件技术有限公司,民营公司,150-500人,计算机软件,餐饮补贴||弹性工作||学习机会多||免费下午茶||五险一金||员工旅游,"1. 参与安全防御、安全评估等环节的系统和流程建设，包括安全工具开发和平台建设
2. 参与威胁应急响应，包括对时下突发和高危的病毒、漏洞进行追踪和分析
3. 参与攻防对抗，帮助产品不断提升对各种威胁与攻击的检测和分析能力
","
1. 对安全有热情
2. 至少熟练掌握一门开发语言，如c,c++
3. 至少熟练掌握一门脚本语言，如python",https://jobs.51job.com/nanjing-jnq/114910885.html?s=01&t=0
网络安全分析师,14-28万/年,['本科'],['2年经验'],['招3人'],苏源大道19号九龙湖国际企业总部园A1-5F,瀚思安信（北京）软件技术有限公司,民营公司,150-500人,计算机软件,餐饮补贴||弹性工作||学习机会多||免费下午茶||五险一金||员工旅游,"1、参与安全防御、监测和响应等相关环节的系统和流程建设，保障客户资产安全；
2、利用大数据安全平台对各类预警进行分析及处理，完成预警分析报告及报表；","1、参与安全防御、监测和响应等相关环节的系统和流程建设，保障客户资产安全；
2、利用大数据安全平台对各类预警进行分析及处理，完成预警分析报告及报表；",https://jobs.51job.com/nanjing-jnq/114911429.html?s=01&t=0
软件测试工程师,0.5-1万/月,['本科'],['2年经验'],['招2人'],南京市软件大道168号润和软件园3幢5层,博智安全科技股份有限公司,民营公司,150-500人,计算机软件,周末双休||带薪年假||五险一金||绩效奖金||节日福利,"岗位职责：1、负责公司产品的软件系统测试工作
2、负责执行测试用例、提交bug、输出测试报告
3、负责测试用例设计、自动化测试脚本编写
",：,https://jobs.51job.com/nanjing-yhtq/112707885.html?s=01&t=0
安全攻防专家/工程师,1.5-2.5万/月,['大专'],['3-4年经验'],['招3人'],南京市软件大道168号润和软件园3幢5层,博智安全科技股份有限公司,民营公司,150-500人,计算机软件,五险一金||年终分红||带薪年假||定期体检||节日福利,"研发团队研发安全检测、监控或防御方案；
4.参与安全事件应急响应，能对攻击进行溯源安全并给出改进方案；
5.CTF靶场、网络安全攻防比赛等的设计、赛题和技术培训工作；
","：
1.熟悉各种网络协议和网络架构，熟悉多种类型的网络攻击和防御手段；
2..熟悉各种攻防技术以及安全漏洞原理，具备独立分析或挖掘漏洞的经验；掌握漏洞利用方法，能够了解漏洞原理以及修复方法；
3.熟悉Linux操作系统，熟练掌握C、Python等语言的使用；",https://jobs.51job.com/nanjing-yhtq/113695940.html?s=01&t=0
数据分析师,1-3万/月,['本科'],无要求,['招1人'],菲尼克斯路99号,南京四象新能源科技有限公司,民营公司,少于50人,新能源,,"1. 负责项目数据的整理及推衍；
2. 对项目数据进行模型建立及预测分析。
","：
1. 统计学、经济学、数学等相关专业211大学毕业；
2. 熟悉关系型数据库相关操作；
3. 熟练使用至少一种数据处理工具：Excel， Python，R，Matlab；",https://jobs.51job.com/nanjing-jnq/92442254.html?s=01&t=0
Linux开发工程师,0.8-2万/月,无要求,['3-4年经验'],['招1人'],南京市软件大道168号润和软件园3幢5层,博智安全科技股份有限公司,民营公司,150-500人,计算机软件,五险一金||绩效奖金||年终分红||股票期权||带薪年假||定期体检||节日福利,"负责漏扫产品功能定制迭代开发及配合保检查工具箱集成扫描功能及审计产品开发
技术方向:网络安全
工程师级别:中高级
工作职责:
1.参与系统架构设计，负责核心模块开发、性能调优；
2.根据项目任务计划按时完成软件编码和单元测试工作；
3.按照开发流程编写相应模块的设计文档；
4.根据技术规范编写相应的技术文档；
",:,https://jobs.51job.com/nanjing-yhtq/117619522.html?s=01&t=0
量化开发工程师,1-1.5万/月,['本科'],['1年经验'],['招2人'],"集庆门大街268号苏宁慧谷E08,2栋1222",江苏常行投资管理有限公司,民营公司,少于50人,金融/投资/证券,,,,https://jobs.51job.com/nanjing-glq/121116417.html?s=01&t=0
嵌入式硬件工程师,1-2万/月,['本科'],['5-7年经验'],['招1人'],高新区星火路17号创智大厦1号楼B座16层,无锡中感微电子股份有限公司,民营公司,50-150人,电子技术/半导体/集成电路,五险一金||年终奖金||定期体检||餐饮补贴||绩效奖金,,,https://jobs.51job.com/nanjing-pkq/116209385.html?s=01&t=0
私有云平台开发工程师,0.8-1.2万/月,['本科'],无要求,['招3人'],江北新区研创园,江苏金恒信息科技股份有限公司,上市公司,1000-5000人,计算机服务(系统、数据服务、维修),,"""1.负责私有云平台的架构设计、开发等工作，部署和管理云端集群，构建云端为服务体系；
2.负责云平台相关新技术研究及导入，云平台技术问题处理及性能维护；
3.Docker、Kubernetes等容器相关技术研究推广。","""1.负责私有云平台的架构设计、开发等工作，部署和管理云端集群，构建云端为服务体系；
2.负责云平台相关新技术研究及导入，云平台技术问题处理及性能维护；
3.Docker、Kubernetes等容器相关技术研究推广。",https://jobs.51job.com/nanjing-pkq/120992519.html?s=01&t=0
RPA Engineer,1-1.5万/月,['本科'],['2年经验'],无要求,鼓楼,毕马威中国 KPMG China,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),五险一金||补充医疗保险||专业培训||年终奖金||定期体检,"
- Work with business analyst to understand and analyse as-is business process, identify automation opportunities and requirements for customers
- 与业务分析团队合作，了解并分析客户现有的业务流程，识别其中的自动化机会点及自动化需求
- Design future process with automation solutions
- 设计未来流程自动化解决方案
- Develop and deploy RPA robots based on the automation design and requirement with a given RPA tool
- 借助RPA开发工具，按照自动化设计需求，开发并部署RPA机器人

- 2+ years RPA development and implementation experience, familiar with any of Uipath/BP/AA. Uipath & BP is highly preferred
- 2年以上流程机器人开发和实施经验，熟悉UiPath，Blueprism，AA等优先
- Engineering Majors in Computer, Information System Management, Software, Statistics, Mathematics, etc.
- 计算机、信息系统管理、软件、统计、数学等工科专业
- Good knowledge of software development processes and methods. Proficiency in using at least one of the programing languages such as JAVA, VBA, C#, Python, or .NET
- 熟悉软件开发流程和方法, 掌握至少一种编程语言，例如JAVA,VBA, C#, Python, 或.NET等","
- Work with business analyst to understand and analyse as-is business process, identify automation opportunities and requirements for customers
- 与业务分析团队合作，了解并分析客户现有的业务流程，识别其中的自动化机会点及自动化需求
- Design future process with automation solutions
- 设计未来流程自动化解决方案
- Develop and deploy RPA robots based on the automation design and requirement with a given RPA tool
- 借助RPA开发工具，按照自动化设计需求，开发并部署RPA机器人

- 2+ years RPA development and implementation experience, familiar with any of Uipath/BP/AA. Uipath & BP is highly preferred
- 2年以上流程机器人开发和实施经验，熟悉UiPath，Blueprism，AA等优先
- Engineering Majors in Computer, Information System Management, Software, Statistics, Mathematics, etc.
- 计算机、信息系统管理、软件、统计、数学等工科专业
- Good knowledge of software development processes and methods. Proficiency in using at least one of the programing languages such as JAVA, VBA, C#, Python, or .NET
- 熟悉软件开发流程和方法, 掌握至少一种编程语言，例如JAVA,VBA, C#, Python, 或.NET等",https://jobs.51job.com/nanjing/117635736.html?s=01&t=0
大数据开发工程师,1.5-2万/月,['本科'],['3-4年经验'],['招2人'],南京市雨花区软件大道180号大数据基地,深圳市网新新思软件有限公司,民营公司,1000-5000人,计算机服务(系统、数据服务、维修),周末双休||带薪年假||五险一金||免费班车||交通补贴||通讯补贴,,,https://jobs.51job.com/nanjing-yhtq/121446272.html?s=01&t=0
Senior Database Administrator,1-1.8万/月,['本科'],['2年经验'],无要求,南京,毕马威中国 KPMG China,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),五险一金||补充医疗保险||专业培训||年终奖金||定期体检,"- Responsible for the daily operation and maintenance of SQL Server and other database systems hosted on-premise or cloud
- Responsible for database management, monitoring and performance tuning
- Responsible for database issue troubleshooting
- Responsible for SQL statement optimization with developers
- Responsible for designing and implementing ETL solution
- Responsible for SSRS / PowerBI Server management
- Ability to communicate in English
- At least two years of practical experience in supporting and maintaining database system","- Responsible for the daily operation and maintenance of SQL Server and other database systems hosted on-premise or cloud
- Responsible for database management, monitoring and performance tuning
- Responsible for database issue troubleshooting
- Responsible for SQL statement optimization with developers
- Responsible for designing and implementing ETL solution
- Responsible for SSRS / PowerBI Server management
- Ability to communicate in English
- At least two years of practical experience in supporting and maintaining database system",https://jobs.51job.com/nanjing/117920467.html?s=01&t=0
Senior System Engineer,1.2-1.8万/月,['本科'],无要求,['招1人'],南京,毕马威中国 KPMG China,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),五险一金||补充医疗保险||专业培训||年终奖金||定期体检,"- Manage platform software release to achieve smooth service deployment and successful service launch
- Rectify the underlying problems with trouble shooting and root cause analysis
- Act as an escalation point for operation team during incidents, participate in standby roster
- Provide 2nd and 3rd level support, On-call duty is required
- University Degree holder on Computer Studies or Information Technology
- Able to master open source technologies and automation and configuration management","- Manage platform software release to achieve smooth service deployment and successful service launch
- Rectify the underlying problems with trouble shooting and root cause analysis
- Act as an escalation point for operation team during incidents, participate in standby roster
- Provide 2nd and 3rd level support, On-call duty is required
- University Degree holder on Computer Studies or Information Technology
- Able to master open source technologies and automation and configuration management",https://jobs.51job.com/nanjing/117942481.html?s=01&t=0
